State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
VA,Falls Church,1.822323462,9.5,26.7,9.2,,1.345099635,0.387301883,0.168468622,,1,0,0,0,0,0,0,0,1.5,8,15,1,73.734998,4.240999,8.992864,9.325332,10.484917,24.708077,3.1,2.7,75
VA,Franklin,6.157443492,12.3,34,9.2,17.3,58.00289117,13.15409307,10.83376606,,1,0,0,1,100,100,0,0,1.5,2,12.66666667,3,38.837101,56.711722,1.642974,0.734095,17.245397,23.840597,21.6,33.2,75
VA,Fredericksburg,4.968944099,9,32.3,9.2,16.8,26.31273199,6.516270345,2.340202236,,1,100,0,1,100,100,0,0,1.5,11,26.41666667,3,60.775756,22.099152,10.73458,2.758791,9.935765,19.678004,19.8,23.4,75
VA,Galax,5.420267086,10.8,29.9,9.2,20.3,2.692895941,0.687526812,0.497994637,,2,0,0,0,0,0,0,0,1.5,4,15.16666667,4,78.117012,5.779608,14.044306,0.525419,20.207327,21.925589,22.3,35.9,75
VA,Hampton,7.333704425,12,36.5,9.2,13.8,23.430694,5.550621528,2.810225385,,2,0,0,1,50,50,0,0,1.5,22,131.4166667,15,40.952152,48.661195,4.541023,2.146454,12.264618,22.755319,13.1,20.3,75
VA,Harrisonburg,8.062869973,7.3,31,9.2,20.5,8.601960789,1.707284493,0.695823218,,2,50,0,1,50,50,0,1,1.5,18,47.41666667,8,72.353518,5.951261,15.67036,3.48571,8.245083,15.022284,30.1,21.9,75
VA,Hopewell,7.343565525,12.8,34.1,9.2,14.7,28.9548801,6.644961872,4.634516784,,0,,,,,,0,0,1.5,9,31.5,3,53.140631,36.368465,6.551281,0.770218,14.868753,25.11177,17.3,27.5,75
VA,Lexington,5.689789556,9.1,28.8,9.2,15.4,0.128848429,0.026527618,0.015158639,,2,0,0,1,50,50,0,0,1.5,5,4,1,82.462369,9.485941,3.848339,2.172678,15.293951,10.139165,21.4,15,75
VA,Lynchburg,5.655348244,10.9,33.1,9.2,15.4,26.40155959,5.447928935,3.33916143,,1,100,0,1,100,100,0,0,1.5,17,74.33333333,13,62.955219,29.091679,3.043616,2.450773,13.968876,19.550603,22.8,29.6,75
VA,Manassas,7.220690561,8.7,29.6,9.2,,6.118268008,1.737873294,0.522431301,,2,100,0,2,100,100,0,0,1.5,21,36.83333333,6,47.576743,12.968985,31.400545,4.920547,6.892996,28.415431,11.7,17.9,75
